project,file,loc,nclones,nsequences,maxseqlen
luakit_t1,testdir/luakit/lib\adblock_wm.lua,184,43,0,0
luakit_t1,testdir/luakit/lib\binds.lua,650,327,0,0
luakit_t1,testdir/luakit/lib\bookmarks.lua,150,18,0,0
luakit_t1,testdir/luakit/lib\chrome_wm.lua,29,2,0,0
luakit_t1,testdir/luakit/lib\clear_data.lua,128,16,0,0
luakit_t1,testdir/luakit/lib\cmdhist.lua,111,10,0,0
luakit_t1,testdir/luakit/lib\domain_props.lua,112,0,0,0
luakit_t1,testdir/luakit/lib\downloads.lua,354,118,0,0
luakit_t1,testdir/luakit/lib\editor.lua,77,0,0,0
luakit_t1,testdir/luakit/lib\error_page_wm.lua,17,0,0,0
luakit_t1,testdir/luakit/lib\follow.lua,598,210,0,0
luakit_t1,testdir/luakit/lib\follow_selected.lua,56,16,0,0
luakit_t1,testdir/luakit/lib\follow_wm.lua,134,34,0,0
luakit_t1,testdir/luakit/lib\formfiller.lua,397,65,0,0
luakit_t1,testdir/luakit/lib\go_up.lua,119,22,0,0
luakit_t1,testdir/luakit/lib\gopher.lua,515,64,0,0
luakit_t1,testdir/luakit/lib\history.lua,135,4,0,0
luakit_t1,testdir/luakit/lib\image_css_wm.lua,37,11,0,0
luakit_t1,testdir/luakit/lib\keysym.lua,85,10,0,0
luakit_t1,testdir/luakit/lib\lousy\bind.lua,479,346,0,0
luakit_t1,testdir/luakit/lib\lousy\init.lua,19,0,0,0
luakit_t1,testdir/luakit/lib\lousy\load.lua,60,11,0,0
luakit_t1,testdir/luakit/lib\lousy\mode.lua,62,18,0,0
luakit_t1,testdir/luakit/lib\lousy\pickle.lua,96,85,0,0
luakit_t1,testdir/luakit/lib\lousy\signal.lua,160,54,0,0
luakit_t1,testdir/luakit/lib\lousy\theme.lua,68,5,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\buf.lua,39,1,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\common.lua,40,4,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\hist.lua,73,2,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\init.lua,35,10,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\menu.lua,296,186,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\progress.lua,53,2,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\ssl.lua,58,3,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\tab.lua,174,191,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\tabi.lua,52,3,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\tablist.lua,286,1155,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\uri.lua,59,6,0,0
luakit_t1,testdir/luakit/lib\lousy\widget\zoom.lua,58,2,0,0
luakit_t1,testdir/luakit/lib\proxy.lua,285,71,0,0
luakit_t1,testdir/luakit/lib\quickmarks.lua,298,122,0,0
luakit_t1,testdir/luakit/lib\readline.lua,296,398,0,0
luakit_t1,testdir/luakit/lib\referer_control_wm.lua,50,0,0,0
luakit_t1,testdir/luakit/lib\search.lua,202,40,0,0
luakit_t1,testdir/luakit/lib\select.lua,121,1,0,0
luakit_t1,testdir/luakit/lib\session.lua,264,52,0,0
luakit_t1,testdir/luakit/lib\tabhistory.lua,100,12,0,0
luakit_t1,testdir/luakit/lib\tabmenu.lua,85,7,0,0
luakit_t1,testdir/luakit/lib\taborder.lua,104,9,0,0
luakit_t1,testdir/luakit/lib\undoclose.lua,298,202,0,0
luakit_t1,testdir/luakit/lib\unique_instance.lua,84,10,0,0
luakit_t1,testdir/luakit/lib\vertical_tabs.lua,85,15,0,0
luakit_t1,testdir/luakit/lib\viewpdf.lua,43,0,0,0
luakit_t1,testdir/luakit/lib\webinspector.lua,34,0,0,0
luakit_t1,testdir/luakit/lib\webview_wm.lua,31,1,0,0
