project,file,loc,nclones,nsequences,maxseqlen
awesome_t1,testdir/awesome/lib\awful\_compat.lua,80,28,0,0
awesome_t1,testdir/awesome/lib\awful\autofocus.lua,18,0,0,0
awesome_t1,testdir/awesome/lib\awful\button.lua,322,66,0,0
awesome_t1,testdir/awesome/lib\awful\client\focus.lua,223,35,0,0
awesome_t1,testdir/awesome/lib\awful\client\shape.lua,131,16,0,0
awesome_t1,testdir/awesome/lib\awful\client\urgent.lua,110,1,0,0
awesome_t1,testdir/awesome/lib\awful\dbus.lua,19,0,0,0
awesome_t1,testdir/awesome/lib\awful\ewmh.lua,9,0,0,0
awesome_t1,testdir/awesome/lib\awful\hotkeys_popup\init.lua,33,0,0,0
awesome_t1,testdir/awesome/lib\awful\hotkeys_popup\keys\firefox.lua,41,0,0,0
awesome_t1,testdir/awesome/lib\awful\hotkeys_popup\keys\init.lua,19,0,0,0
awesome_t1,testdir/awesome/lib\awful\hotkeys_popup\keys\qutebrowser.lua,187,104,0,0
awesome_t1,testdir/awesome/lib\awful\hotkeys_popup\keys\termite.lua,108,4,0,0
awesome_t1,testdir/awesome/lib\awful\hotkeys_popup\keys\tmux.lua,91,6,0,0
awesome_t1,testdir/awesome/lib\awful\hotkeys_popup\keys\vim.lua,195,32,0,0
awesome_t1,testdir/awesome/lib\awful\hotkeys_popup\widget.lua,770,330,0,0
awesome_t1,testdir/awesome/lib\awful\init.lua,53,0,0,0
awesome_t1,testdir/awesome/lib\awful\key.lua,434,57,0,0
awesome_t1,testdir/awesome/lib\awful\keyboard.lua,232,33,0,0
awesome_t1,testdir/awesome/lib\awful\keygrabber.lua,865,207,0,0
awesome_t1,testdir/awesome/lib\awful\layout\init.lua,489,72,0,0
awesome_t1,testdir/awesome/lib\awful\layout\suit\corner.lua,212,35,0,0
awesome_t1,testdir/awesome/lib\awful\layout\suit\floating.lua,113,24,0,0
awesome_t1,testdir/awesome/lib\awful\layout\suit\init.lua,19,0,0,0
awesome_t1,testdir/awesome/lib\awful\layout\suit\magnifier.lua,155,11,0,0
awesome_t1,testdir/awesome/lib\awful\layout\suit\max.lua,65,1,0,0
awesome_t1,testdir/awesome/lib\awful\layout\suit\spiral.lua,89,11,0,0
awesome_t1,testdir/awesome/lib\awful\mouse\client.lua,147,26,0,0
awesome_t1,testdir/awesome/lib\awful\mouse\drag_to_tag.lua,60,2,0,0
awesome_t1,testdir/awesome/lib\awful\mouse\init.lua,404,45,0,0
awesome_t1,testdir/awesome/lib\awful\mouse\resize.lua,257,132,0,0
awesome_t1,testdir/awesome/lib\awful\mouse\snap.lua,280,53,0,0
awesome_t1,testdir/awesome/lib\awful\permissions\_common.lua,82,95,0,0
awesome_t1,testdir/awesome/lib\awful\permissions\init.lua,764,117,0,0
awesome_t1,testdir/awesome/lib\awful\remote.lua,49,2,0,0
awesome_t1,testdir/awesome/lib\awful\root.lua,119,42,0,0
awesome_t1,testdir/awesome/lib\awful\rules.lua,15,0,0,0
awesome_t1,testdir/awesome/lib\awful\screen.lua,1022,149,0,0
awesome_t1,testdir/awesome/lib\awful\spawn.lua,744,65,0,0
awesome_t1,testdir/awesome/lib\awful\startup_notification.lua,58,2,0,0
awesome_t1,testdir/awesome/lib\awful\tag.lua,1931,1285,0,0
awesome_t1,testdir/awesome/lib\awful\titlebar.lua,847,115,0,0
awesome_t1,testdir/awesome/lib\awful\tooltip.lua,786,268,0,0
awesome_t1,testdir/awesome/lib\awful\util.lua,489,543,0,0
awesome_t1,testdir/awesome/lib\awful\wibar.lua,463,50,0,0
awesome_t1,testdir/awesome/lib\awful\wibox.lua,14,0,0,0
awesome_t1,testdir/awesome/lib\awful\widget\button.lua,74,2,0,0
awesome_t1,testdir/awesome/lib\awful\widget\calendar_popup.lua,423,39,0,0
awesome_t1,testdir/awesome/lib\awful\widget\clienticon.lua,136,108,0,0
awesome_t1,testdir/awesome/lib\awful\widget\common.lua,201,36,0,0
awesome_t1,testdir/awesome/lib\awful\widget\graph.lua,16,0,0,0
awesome_t1,testdir/awesome/lib\awful\widget\init.lua,29,0,0,0
awesome_t1,testdir/awesome/lib\awful\widget\keyboardlayout.lua,322,51,0,0
awesome_t1,testdir/awesome/lib\awful\widget\launcher.lua,59,0,0,0
awesome_t1,testdir/awesome/lib\awful\widget\layoutbox.lua,122,10,0,0
awesome_t1,testdir/awesome/lib\awful\widget\layoutlist.lua,451,102,0,0
awesome_t1,testdir/awesome/lib\awful\widget\only_on_screen.lua,138,59,0,0
awesome_t1,testdir/awesome/lib\awful\widget\progressbar.lua,16,0,0,0
awesome_t1,testdir/awesome/lib\awful\widget\prompt.lua,167,2,0,0
awesome_t1,testdir/awesome/lib\awful\widget\textclock.lua,16,0,0,0
awesome_t1,testdir/awesome/lib\awful\widget\watch.lua,101,0,0,0
awesome_t1,testdir/awesome/lib\beautiful.lua,7,0,0,0
awesome_t1,testdir/awesome/lib\beautiful\gtk.lua,245,27,0,0
awesome_t1,testdir/awesome/lib\beautiful\init.lua,340,54,0,0
awesome_t1,testdir/awesome/lib\beautiful\theme_assets.lua,302,397,0,0
awesome_t1,testdir/awesome/lib\beautiful\xresources.lua,144,9,0,0
awesome_t1,testdir/awesome/lib\gears\cache.lua,64,5,0,0
awesome_t1,testdir/awesome/lib\gears\color.lua,377,140,0,0
awesome_t1,testdir/awesome/lib\gears\debug.lua,180,25,0,0
awesome_t1,testdir/awesome/lib\gears\filesystem.lua,199,20,0,0
awesome_t1,testdir/awesome/lib\gears\init.lua,28,0,0,0
awesome_t1,testdir/awesome/lib\gears\matcher.lua,571,127,0,0
awesome_t1,testdir/awesome/lib\gears\math.lua,94,23,0,0
awesome_t1,testdir/awesome/lib\gears\matrix.lua,225,27,0,0
awesome_t1,testdir/awesome/lib\gears\object.lua,300,204,0,0
awesome_t1,testdir/awesome/lib\gears\object\properties.lua,319,266,0,0
awesome_t1,testdir/awesome/lib\gears\protected_call.lua,58,1,0,0
awesome_t1,testdir/awesome/lib\gears\shape.lua,852,576,0,0
awesome_t1,testdir/awesome/lib\gears\sort\init.lua,9,0,0,0
awesome_t1,testdir/awesome/lib\gears\sort\topological.lua,122,47,0,0
awesome_t1,testdir/awesome/lib\gears\surface.lua,276,70,0,0
awesome_t1,testdir/awesome/lib\gears\table.lua,402,284,0,0
awesome_t1,testdir/awesome/lib\gears\timer.lua,269,35,0,0
awesome_t1,testdir/awesome/lib\gears\wallpaper.lua,280,188,0,0
awesome_t1,testdir/awesome/lib\menubar\icon_theme.lua,253,103,0,0
awesome_t1,testdir/awesome/lib\menubar\index_theme.lua,168,42,0,0
awesome_t1,testdir/awesome/lib\menubar\init.lua,550,112,0,0
awesome_t1,testdir/awesome/lib\menubar\menu_gen.lua,136,61,0,0
awesome_t1,testdir/awesome/lib\menubar\utils.lua,432,46,0,0
awesome_t1,testdir/awesome/lib\naughty.lua,7,0,0,0
awesome_t1,testdir/awesome/lib\naughty\action.lua,146,12,0,0
awesome_t1,testdir/awesome/lib\naughty\constants.lua,113,16,0,0
awesome_t1,testdir/awesome/lib\naughty\container\background.lua,104,35,0,0
